create_timestamp,modify_timestamp,job_id,task_id,instance_num,status_task,plan_cpu,plan_mem,start_timestamp,end_timestamp,machineID,status_instance,seq_no,total_seq_no,real_cpu_max,real_cpu_avg,real_mem_max,real_mem_avg
47095,47344,8095,51089,500,Running,50.0,0.0096342505112209,47095,47344,37.0,Running,1,1,,,,
47575,47601,8144,51537,379,Running,50.0,0.0082364817642947,47575,47601,586.0,Running,1,1,,,,
48436,48529,8201,52058,403,Running,50.0,0.0082830740558589,48438,48529,5.0,Running,1,1,,,,
48479,48516,8213,52158,65,Running,50.0,0.0081847125514456,48480,48516,738.0,Running,1,1,,,,
48495,48538,8216,52171,500,Running,50.0,0.0054047058214479,48496,48538,111.0,Running,1,1,,,,
49043,49093,8241,52386,67,Running,50.0,0.00822095100044,49043,49093,607.0,Running,1,1,,,,
49942,49988,8377,53614,223,Running,50.0,0.0083296663474231,49942,49988,573.0,Running,1,1,,,,
49944,50025,8381,53638,500,Running,50.0,0.0186576243108223,49945,50025,1289.0,Running,1,1,,,,
50307,50363,8433,54100,500,Running,50.0,0.0054047058214479,50308,50363,1224.0,Running,1,1,,,,
50418,50456,8455,54300,403,Running,50.0,0.0082830740558589,50426,50456,503.0,Running,1,1,,,,
50639,50771,8490,54604,189,Running,50.0,0.0082364817642947,50639,50771,1293.0,Running,1,1,,,,
51602,51685,8654,56069,379,Running,50.0,0.0082364817642947,51609,51685,665.0,Running,1,1,,,,
52430,52562,8762,56991,500,Running,50.0,0.0160070406129474,52437,52562,661.0,Running,1,1,,,,
53211,53240,8838,57674,379,Running,50.0,0.0082364817642947,53211,53240,1187.0,Running,1,1,,,,
53682,53743,8864,57912,379,Running,50.0,0.0082364817642947,53691,53743,1210.0,Running,1,1,,,,
10792,10794,9140,60235,1,Running,40.0,0.0040587062873709,10792,10794,1268.0,Running,1,1,,,,
19768,19770,9174,60296,1,Running,40.0,0.0040587062873709,19768,19770,1099.0,Running,1,1,,,,
23361,23364,9189,60322,1,Running,40.0,0.0040587062873709,23361,23364,1308.0,Running,1,1,,,,
27851,27853,9207,60355,99,Running,50.0,0.0160070406129474,27851,27853,1134.0,Running,1,1,,,,
31116,31118,9220,60378,99,Running,50.0,0.0160070406129474,31116,31118,946.0,Running,1,1,,,,
34076,34077,9236,60406,99,Running,50.0,0.0160070406129474,34076,34077,130.0,Running,1,1,,,,
47633,0,9296,60515,1,Running,100.0,0.0027541221235731,0,0,,Ready,2,2,,,,
51751,51753,9315,60547,1,Running,40.0,0.0040587062873709,51751,51753,178.0,Running,1,1,,,,
57416,57418,9343,60597,99,Running,50.0,0.0160070406129474,57416,57418,130.0,Running,1,1,,,,
59196,59197,9347,60604,99,Running,50.0,0.0160070406129474,59196,59197,1150.0,Running,1,1,,,,
27083,27116,9475,61062,325,Running,50.0,0.0080967048896021,27084,27116,411.0,Running,1,1,,,,
3634,3737,9491,61270,415,Running,50.0,0.0107058732171977,3634,3737,1018.0,Running,1,1,,,,
3634,3737,9491,61272,253,Running,50.0,0.0107058732171977,3634,3737,1043.0,Running,1,1,,,,
3634,3737,9491,61273,1,Running,50.0,0.0107058732171977,3634,3737,673.0,Running,1,1,,,,
35249,0,9780,63501,1,Running,100.0,0.0107058732171977,35513,0,442.0,Running,4,4,,,,
5462,5543,10271,64283,11,Running,50.0,0.0133564569150726,5462,5543,609.0,Running,1,1,,,,
5462,5543,10271,64285,11,Running,50.0,0.0080552895193228,5462,5543,199.0,Running,1,1,,,,
5462,5543,10271,64286,1,Running,50.0,0.0040949447363652,5462,5543,341.0,Running,1,1,,,,
17101,17166,10919,67250,43,Running,50.0,0.0133564569150726,17101,17166,874.0,Running,1,1,,,,
17101,17166,10919,67249,27,Running,50.0,0.0160070406129474,17101,17166,1231.0,Running,1,1,,,,
17101,17166,10919,67247,23,Running,50.0,0.0133564569150726,17101,17166,651.0,Running,1,1,,,,
17101,17166,10919,67251,45,Running,50.0,0.0133564569150726,17101,17166,153.0,Running,1,1,,,,
17101,17166,10919,67252,55,Running,50.0,0.0107058732171977,17101,17166,1010.0,Running,1,1,,,,
25905,25964,10932,67307,75,Running,50.0,0.008164004866306,25905,25964,15.0,Running,1,1,,,,
37214,37470,10978,67547,1,Running,50.0,0.0041260062640747,37214,37470,495.0,Running,1,1,,,,
37214,37470,10978,67540,263,Running,50.0,0.0081484741024512,37215,37470,599.0,Running,1,1,,,,
37214,37470,10978,67548,1,Running,50.0,0.0040845908937954,37214,37470,974.0,Running,1,1,,,,
37214,37470,10978,67542,29,Running,50.0,0.0081174125747418,37214,37470,1244.0,Running,1,1,,,,
51731,51859,11012,67766,1,Running,50.0,0.0040690601299407,51734,51859,426.0,Running,1,1,,,,
51731,51859,11012,67754,491,Running,50.0,0.0133564569150726,51734,51859,471.0,Running,1,1,,,,
51731,51859,11012,67755,599,Running,50.0,0.0096135428260813,51733,51859,1132.0,Running,1,1,,,,
51731,51859,11012,67765,1,Running,50.0,0.0089094815313333,51734,51859,10.0,Running,1,1,,,,
51731,51859,11012,67757,2,Running,50.0,0.0078637434317811,51734,51859,1225.0,Running,1,1,,,,
51731,51859,11012,67758,3,Running,50.0,0.0133564569150726,51734,51859,243.0,Running,1,1,,,,
23951,23969,11151,68258,273,Running,50.0,0.0107058732171977,23951,23969,819.0,Running,1,1,,,,
23951,23969,11151,68261,5,Running,50.0,0.0107058732171977,23951,23969,819.0,Running,1,1,,,,
10898,10908,11231,68579,216,Running,50.0,0.0133564569150726,10904,10908,386.0,Running,1,1,,,,
